
station_id,avg_bikes,avg_docks
2,12.680101503571414,14.22997279642716
3,8.209531607771089,6.779045364456498
4,5.3516532910649115,5.630504451266891
5,7.655209868183927,11.320708285083757
6,7.4790849949794485,7.502330728816016
7,8.115232258569153,6.843384641426808
8,7.371943764889068,7.592752782827236
9,7.751592879442622,7.210585170399783
10,6.20587690281529,8.774682818702493
11,9.165732557833806,9.797759934136865
12,9.33127981138711,9.570233848872496
13,6.540665954089437,8.437793865979518
14,8.241890233097973,10.746241721386642
16,7.062868164019295,7.903396197863936
21,6.4022203990198,8.591000309102698
22,11.737816021828056,15.179151521382398
23,7.108827229110239,8.049561678085713
24,7.317581931803476,7.839993534646451
25,6.787239319114752,8.54644218711974
26,7.271412092058414,7.976648969944392
27,6.8434614839602546,8.135563866819382
28,11.552975544323363,11.42145118258107
29,10.241200771737828,12.727750181617498
30,7.627448629357509,7.354856414830239
31,7.3003594303711035,7.684228466856492
32,4.615104438208628,6.369615796215848
33,6.7817564409267295,8.203911010344324
34,10.087565569823445,12.854161042884733
35,5.9805090174167415,5.004499250766066
36,8.498530710177018,6.4835672292265025
37,5.100070723398405,5.883773179866351
38,7.405050150776089,7.5923171178195155
39,10.016656107239346,8.930028189823432
41,6.002830859510541,8.968509172561882
42,6.636869652865462,8.332065270707744
45,5.527012426928216,9.452558577632542
46,7.449585373657412,7.524011651727986
47,7.211715590630089,11.746439625108286
48,6.178801318545743,8.795347131342295
49,8.382503941723519,10.582572292714092
50,13.335827408621979,9.576254513671346
51,7.545214064370878,11.408225457498007
54,8.331310588568636,6.628407210324219
55,11.52879431331803,11.405181866418914
56,7.606096318472008,11.353170081758275
57,7.246277083118153,7.727598219283579
58,7.998820563163479,10.977659398930266
59,8.488464007048002,14.479909232962068
60,7.35466085148918,7.595139641843381
61,13.40106129981009,12.99172414412176
62,6.011247706351384,12.937476004165458
63,7.692154431977551,11.271282067447668
64,7.14873906528417,7.827666377916857
65,7.578609089399393,7.3784650778373955
66,8.448721047809137,10.497546481559045
67,10.059100561940365,16.868415923098006
68,8.691949710053091,10.271734474825578
69,12.529001741476579,10.39665528765144
70,10.989174119451379,7.9363944252229786
71,8.705329457115734,10.260200718647686
72,11.40996770958626,11.524749358167075
73,7.9141382567283864,7.507135991058355
74,12.161548888301898,10.223282183334675
75,7.360018235491701,11.574446843926303
76,8.495075647796037,10.440829548164945
77,12.728522468974393,13.651651871158844
80,6.380210748308181,8.610682584736308
82,6.01657965163449,8.95048935796058
83,6.3732413257161,8.61682116879695
84,7.190660161754634,7.792403915487562
87,0.0,0.0
88,8.940100390407142,10.023535973229224
89,5.728563443264387,13.265064281721632
90,16.644235082996854,14.338156123822339
91,5.129477821448623,29.819314991577766
